station code,Station name,srcStateName,srcYear,Minimum temperature for medium and minor rivers,Maximum temperature for medium and minor rivers,Minimum value of dissolved oxygen,Maximum value of dissolved oxygen,Minimum potential of Hydrogen value in water,Maximum potential of Hydrogen value in water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum  of Nitrate N + Nitrite N required for medium and minor rivers,Maximum  of Nitrate N + Nitrite N required for medium and minor rivers,Minimum  of Faecal Coliforms for medium and minor rivers,Maximum   of Faecal Coliforms for medium and minor rivers,Minimum  of total coliform for medium and minor rivers,Maximum  of total coliform for medium and minor rivers,YearCode,Year
42,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR",KERALA,2017,24,25,6.5,7.8,6.8,7.6,92,131,1.2,104,0.1,0.76,110,260,310,500,2017,"Calendar Year (Jan - Dec), 2017"
43,MUVATTAPUZHA AT VETTIKKATTUMUKKU,KERALA,2017,27,30,5.5,6.9,6.5,7.9,54,700,0.3,1.6,0.07,0.57,500,1800,1200,4000,2017,"Calendar Year (Jan - Dec), 2017"
1154,"CHALAKUDY AT PULICKALKA-DAVU, KERALA",KERALA,2017,26,30,3.9,7.6,6.1,7,47,251,0.5,3,0.02,1.94,110,700000,140,790000,2017,"Calendar Year (Jan - Dec), 2017"
1155,"KARAMANA AT MOONNATTUMUKKU, KERALA",KERALA,2017,30,33,1.5,1.9,6.6,7.3,600,1100,3.7,52,0.5,3,1420,19500,38200,41000,2017,"Calendar Year (Jan - Dec), 2017"
1156,"PAMBA AT CHENGANNUR, KERALA",KERALA,2017,26,30,1.5,7.1,5.6,6.7,42,63,0.2,1.3,0.01,2.14,90,370,240,480,2017,"Calendar Year (Jan - Dec), 2017"
1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,2017,26,30.1,3.9,7.1,6.3,7.1,33,64,1,2.1,0.1,1.16,520,1300000,600,1400000,2017,"Calendar Year (Jan - Dec), 2017"
1339,"MEENACHIL AT KIDANGOOR, KERALA",KERALA,2017,27,29,6.1,7.3,6.4,7.7,40,92,0.2,2.4,0.03,0.53,800,2000,1800,3800,2017,"Calendar Year (Jan - Dec), 2017"
1340,"MANIMALA AT KALLOOPARA, KERALA",KERALA,2017,27,30,3.5,8,5.4,8.3,58,190,0.6,2.2,0.01,0.27,10,700,72,460,2017,"Calendar Year (Jan - Dec), 2017"
1341,"PAMBA AT THAKAZHY, KERALA",KERALA,2017,27,29,1,6.1,5.3,7.2,45,83,0.1,3.3,0.01,1.02,110,580,260,840,2017,"Calendar Year (Jan - Dec), 2017"
1342,ACHANKOVIL AT THUMPAMON,KERALA,2017,25,28,6.1,7.2,6.7,7.5,110,130,1.1,2,0.18,1.1,110,210,260,560,2017,"Calendar Year (Jan - Dec), 2017"
1384,"MANIMALA AT THONDRA, KERALA",KERALA,2017,22.5,29,5.8,7.2,6.5,8.2,58,239,0.4,2.5,0.03,0.27,90,200,180,320,2017,"Calendar Year (Jan - Dec), 2017"
1442,"VAMANAPURAM, KERALA",KERALA,2017,30,33,4.8,6.9,6,6.8,100,470,0,2,0.05,0.05,220,800,620,1750,2017,"Calendar Year (Jan - Dec), 2017"
1443,ACHANKOVIL AT CHENNITHULA,KERALA,2017,24,28,5.5,7.3,6.6,7.5,110,144,1,1.4,0.12,0.56,100,180,140,460,2017,"Calendar Year (Jan - Dec), 2017"
