station code,Station name,srcStateName,srcYear,Minimum temperature for medium and minor rivers,Maximum temperature for medium and minor rivers,Minimum value of dissolved oxygen,Maximum value of dissolved oxygen,Minimum potential of Hydrogen value in water,Maximum potential of Hydrogen value in water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum  of Nitrate N + Nitrite N required for medium and minor rivers,Maximum  of Nitrate N + Nitrite N required for medium and minor rivers,Minimum  of Faecal Coliforms for medium and minor rivers,Maximum   of Faecal Coliforms for medium and minor rivers,Minimum  of total coliform for medium and minor rivers,Maximum  of total coliform for medium and minor rivers,YearCode,Year
3356,UMIAM MAWPHLANG RIVER AT SHELLA,MEGHALAYA,2019,16,24,6.9,8,7.6,7.9,108,130,1,1.5,0.35,0.69,2,27,94,350,2019,"Calendar Year (Jan - Dec), 2019"
3355,UMIAM MAWPHLANG RIVER AT MAWPHLANG,MEGHALAYA,2019,9,21,7,7.6,6.7,7.3,30,44,1.5,1.8,0.5,1.1,12,26,120,280,2019,"Calendar Year (Jan - Dec), 2019"
3354,UMIAM MAWPHLANG RIVER AT UMTYNGNGAR,MEGHALAYA,2019,9,22,6.4,7.6,6.8,7.3,40,72,1.6,2.4,0.33,0.84,11,31,140,240,2019,"Calendar Year (Jan - Dec), 2019"
3353,UMIAM MAWPHLANG RIVER AT NONGKREM,MEGHALAYA,2019,10,19,6,7.6,6.8,7.2,50,130,1.2,2.2,0.37,1.52,14,32,170,320,2019,"Calendar Year (Jan - Dec), 2019"
4326,SIMSANG RIVER AT BAGHMERE,MEGHALAYA,2019,18,30,7,7.7,6.9,7.5,72,89,1.1,1.9,0.04,0.44,2,140,120,430,2019,"Calendar Year (Jan - Dec), 2019"
4111,NANGALBIBRA BRIDGE,MEGHALAYA,2019,17,30.2,6.8,7.7,6.3,7.4,62,89,1,1.7,0.45,0.56,17,94,94,920,2019,"Calendar Year (Jan - Dec), 2019"
1633,SIMSANG RIVER WILLIAMNAGAR,MEGHALAYA,2019,18,29,7,7.7,7.1,7.6,67,94,1.3,1.8,0.32,0.54,110,410,430,2700,2019,"Calendar Year (Jan - Dec), 2019"
3379,"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS",MEGHALAYA,2019,14,27,6,7.7,5,6.6,40,72,1.2,1.9,0.28,0.47,11,26,63,170,2019,"Calendar Year (Jan - Dec), 2019"
1631,MYNTDU RIVER JOWAI,MEGHALAYA,2019,12,22,6.1,7.4,6.6,7.1,59,72,3.2,6.5,0.46,0.65,210,2400,700,4900,2019,"Calendar Year (Jan - Dec), 2019"
3376,LUKHA RIVER AT SUNAPUR (TRIBUTARY OF LUNAR),MEGHALAYA,2019,15,32,7.4,8,6.7,7.3,142,430,1.2,1.8,0.42,0.85,13,49,110,280,2019,"Calendar Year (Jan - Dec), 2019"
3375,LUKHA RIVER AT MYNDIHATI (TRIBUTARY OF LUNAR),MEGHALAYA,2019,14,26,5,7.2,2.3,3.3,1000,1480,3.3,5.5,0.2,0.36,2,2,2,12,2019,"Calendar Year (Jan - Dec), 2019"
1428,"KYRHUKHLA NEAR SUTNGA KHLIERIAT, JAINTIA HILLS",MEGHALAYA,2019,15,26,6,7.6,2.7,4.4,190,700,3.2,5.5,0.2,0.3,2,14,4,58,2019,"Calendar Year (Jan - Dec), 2019"
4112,GAROBADHA,MEGHALAYA,2019,18,30.9,6.3,7.7,7.1,7.5,68,110,1.1,2,0.31,0.47,79,1100,130,2100,2019,"Calendar Year (Jan - Dec), 2019"
1632,GANOL RIVER TURA,MEGHALAYA,2019,17,30,7,8,7.1,7.8,64,87,1,1.8,0.4,0.57,170,1400,410,2200,2019,"Calendar Year (Jan - Dec), 2019"
3384,BUGI RIVER AT DALU,MEGHALAYA,2019,17,30,6.3,7.5,6.8,7.8,71,150,1.5,7.1,0.25,0.52,12,38,70,170,2019,"Calendar Year (Jan - Dec), 2019"
3383,BUGI RIVER AT MIBANPARA,MEGHALAYA,2019,17,28,6.8,7.5,7,7.8,62,144,1.5,2.3,0.29,0.51,8,32,84,280,2019,"Calendar Year (Jan - Dec), 2019"
2876,"WANGJING RIVER AT WANGJING,",MANIPUR,2019,17,29,7.2,8.3,6.9,7.6,120,420,2.6,4.4,0.02,0.04,2,55,100,305,2019,"Calendar Year (Jan - Dec), 2019"
2855,WANGJING RIVER AT HEIROK,MANIPUR,2019,16,28,7.1,8.4,7,7.4,127,387,2.2,3.8,0.02,0.03,2,75,150,400,2019,"Calendar Year (Jan - Dec), 2019"
2872,THOUBAL RIVER AT LITAN,MANIPUR,2019,19,30,7.2,8.5,7.1,7.9,122,360,2.7,4.9,0.03,0.03,2,20,75,180,2019,"Calendar Year (Jan - Dec), 2019"
2870,THOUBAL RIVER AT SHONG KONG,MANIPUR,2019,19,29,7,8.3,7,7.6,170,305,2.6,3.7,,,2,10,35,180,2019,"Calendar Year (Jan - Dec), 2019"
2856,THOUBAL RIVER AT YAIRIPOK,MANIPUR,2019,17,28.3,6.9,7.9,6.9,7.6,170,550,2.9,4.4,0.03,0.04,2,60,170,350,2019,"Calendar Year (Jan - Dec), 2019"
1927,"SEKMAI RIVER, KAKCHING",MANIPUR,2019,16,28,7.1,7.9,7.1,7.8,29,389,2.7,3.8,0.03,0.03,2,60,125,250,2019,"Calendar Year (Jan - Dec), 2019"
2880,NAMBUL RIVER AT BISHNUPUR,MANIPUR,2019,17,28.2,4.8,7.8,6.9,7.4,130,516,1.8,4.5,0.03,0.03,2,65,50,250,2019,"Calendar Year (Jan - Dec), 2019"
2860,NAMBUL RIVER AT NAOREMTHONG,MANIPUR,2019,19,30,4.1,6.8,5.8,7.9,160,624,3.1,4.8,0.02,0.03,2,85,160,440,2019,"Calendar Year (Jan - Dec), 2019"
2859,SINGDA DAM AT NAMBUL RIVER,MANIPUR,2019,18,31,6.8,8.5,7.1,7.5,70,224,2.7,4,0.02,0.03,2,5,30,85,2019,"Calendar Year (Jan - Dec), 2019"
2858,NAMBUL RIVER AT SAMUSANG (U.K. ROAD),MANIPUR,2019,18,30,4.6,5.9,6,7.8,288,643,2,5.6,0.03,0.03,2,90,140,580,2019,"Calendar Year (Jan - Dec), 2019"
1626,NAMBUL AT HEIRANGOITHONG,MANIPUR,2019,19,31,3.8,5.6,6.2,7.9,270,1220,5.1,6.2,0.03,0.03,2,205,410,790,2019,"Calendar Year (Jan - Dec), 2019"
1625,NAMBUL AT HUMP BRIDGE,MANIPUR,2019,19,31,3.7,6.2,6,7.9,270,1410,5.2,6,0.03,0.04,2,180,425,800,2019,"Calendar Year (Jan - Dec), 2019"
2879,ETHAI BARRAGE ON MANIPUR RIVER,MANIPUR,2019,15,28,6.3,7.8,7.1,7.8,130,439,2.1,4,0.02,0.03,2,35,50,200,2019,"Calendar Year (Jan - Dec), 2019"
2857,MANIPUR RIVER AT THOUBAL,MANIPUR,2019,17,28,7.2,8.2,7.1,7.4,190,476,2.6,4.1,0.03,0.03,2,55,135,200,2019,"Calendar Year (Jan - Dec), 2019"
2852,MANIPUR RIVER AT SEKMAIJAN,MANIPUR,2019,15,28,7.2,8.1,7.1,7.6,150,401,2.9,3.9,0.02,0.03,2,45,70,300,2019,"Calendar Year (Jan - Dec), 2019"
2867,MAHA RIVER AT CHANDEL,MANIPUR,2019,17,30,6.4,7.8,7,7.5,150,470,2.6,4.7,0.03,0.03,2,40,15,450,2019,"Calendar Year (Jan - Dec), 2019"
2878,LOKCHAO RIVER AT BISHNUPUR,MANIPUR,2019,16,29,6.8,7.6,7,7.6,135,452,2.8,4.4,,,2,30,20,375,2019,"Calendar Year (Jan - Dec), 2019"
1926,"KHUJAIROK RIVER, MOREH",MANIPUR,2019,18,31,6.6,7.9,7.1,7.8,65,460,2.6,4.2,0.02,0.03,55,152,35,555,2019,"Calendar Year (Jan - Dec), 2019"
2877,KHUGA DAM ON KHUGA RIVER,MANIPUR,2019,17,30,4.4,7.9,7,7.7,91,340,1.8,3.8,0.03,0.03,2,10,30,300,2019,"Calendar Year (Jan - Dec), 2019"
1925,KHUGA RIVER (LOCATION PL),MANIPUR,2019,16,30,6.9,8.1,6.9,7.6,65,407,2.7,4.4,0.02,0.03,2,55,40,350,2019,"Calendar Year (Jan - Dec), 2019"
2873,IRIL RIVER AT LILONG,MANIPUR,2019,17,28,5.3,7.8,7.1,7.6,150,458,2.3,3.8,0.03,0.03,2,45,105,295,2019,"Calendar Year (Jan - Dec), 2019"
2863,IRIL RIVER AT KANGLA SIPHAI,MANIPUR,2019,16,29,7,8.1,7,7.6,115,390,2,3.8,0.03,0.03,2,20,45,200,2019,"Calendar Year (Jan - Dec), 2019"
1624,IRIL AT LILONG,MANIPUR,2019,18,30,7.1,8.3,7.2,7.9,94,411,2.7,3.8,0.03,0.03,2,50,105,370,2019,"Calendar Year (Jan - Dec), 2019"
1458,IRIL AT PORAMPET,MANIPUR,2019,17,30,6.8,8.1,7,7.7,130,482,2.7,3.9,0.02,0.17,2,25,120,380,2019,"Calendar Year (Jan - Dec), 2019"
2874,IRANG RIVER AT TAMENGLONG,MANIPUR,2019,19,19,6.7,6.7,7.6,7.6,234,234,2.5,2.5,0.03,0.03,,,30,30,2019,"Calendar Year (Jan - Dec), 2019"
2864,IMPHAL RIVER AT SEKMAI,MANIPUR,2019,16,30,3.9,7.8,7,7.9,90,482,2,3.2,0.03,0.03,2,65,30,290,2019,"Calendar Year (Jan - Dec), 2019"
2862,IMPHAL RIVER AT SAMUROU,MANIPUR,2019,17,30,4.1,7.7,6.3,7.4,110,420,2.1,4.9,0.03,0.03,2,135,55,395,2019,"Calendar Year (Jan - Dec), 2019"
2861,"KANGLA MOAT, IMPHAL WEST",MANIPUR,2019,18,29,5.3,7.6,6.9,7.8,190,460,2,4.5,0.02,0.04,2,45,80,395,2019,"Calendar Year (Jan - Dec), 2019"
1628,IMPHAL AT MINUTHONG,MANIPUR,2019,17,28,3.1,7.1,6.8,7.6,120,445,2,4,0.03,0.03,2,30,240,600,2019,"Calendar Year (Jan - Dec), 2019"
1627,IMPHAL AT KIYAMGI,MANIPUR,2019,17,30,7.3,8.2,7,7.8,125,4225,2.7,4.3,0.03,0.03,2,35,160,350,2019,"Calendar Year (Jan - Dec), 2019"
1457,IMPHAL AT KOIRENGEI,MANIPUR,2019,16,29,6.9,7.9,7.1,7.7,100,516,2.4,4.3,0.02,0.03,2,45,34,400,2019,"Calendar Year (Jan - Dec), 2019"
1424,IMPHAL AT MAHABALI,MANIPUR,2019,17,30,3.1,8.1,6.9,7.7,105,408,1.4,6.9,0.02,0.03,2,75,115,500,2019,"Calendar Year (Jan - Dec), 2019"
2714,"VASHISTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,2019,26,28,5.2,7,7.3,7.8,59,10410,1.8,2.8,0.03,0.94,2,9,17,70,2019,"Calendar Year (Jan - Dec), 2019"
2713,"VASHISTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL, KHERDI,CHIPLUN, RATNAGIRI",MAHARASHTRA,2019,26,28,4,6.9,6.9,7.8,54,12900,1.8,4,0.05,1.08,2,12,24,84,2019,"Calendar Year (Jan - Dec), 2019"
2164,"VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI, CHIPLUN, RATNAGIRI",MAHARASHTRA,2019,26,28,5.5,7,6.7,8.1,60,397,1.8,2.6,0.06,0.64,2,8,21,79,2019,"Calendar Year (Jan - Dec), 2019"
2712,"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE",MAHARASHTRA,2019,22,32,7,7.3,7.2,8,82,277,3,4,0.2,1.4,23,240,49,1600,2019,"Calendar Year (Jan - Dec), 2019"
2162,"ULHAS RIVER AT JAMBHUL WATER WORKS, JAMBHUL, AMBERNATH, THANE",MAHARASHTRA,2019,25,32,6.3,7.5,6.6,8,77,188,3,4,0.1,1.8,4,110,33,1600,2019,"Calendar Year (Jan - Dec), 2019"
1094,"ULHAS AT U/S OF BADLAPUR, KULGAON, AMBERNATH, THANE",MAHARASHTRA,2019,24,32,6,7.4,6.6,7.9,64,958,3,4,0.1,2.1,11,79,33,920,2019,"Calendar Year (Jan - Dec), 2019"
1093,"ULHAS AT U/S OF NRC BUND AT MOHANE, KALYAN, THANE",MAHARASHTRA,2019,25,32,6.4,7.4,6.7,8,97,3285,3,4,0.3,1.7,2,110,12,540,2019,"Calendar Year (Jan - Dec), 2019"
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,2019,21,32,6.9,7.4,7.3,8,74,288,3,4,0.1,1.2,4,350,11,1600,2019,"Calendar Year (Jan - Dec), 2019"
2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,2019,17,35,4,6.9,7,7.7,50,58790,2,12,0.22,1.5,7,920,43,920,2019,"Calendar Year (Jan - Dec), 2019"
2702,"SAVITRI RIVER AT SHEDAV DOV, MAHAD, RAIGAD",MAHARASHTRA,2019,17,35,4,7.1,6.7,8,49,55750,2,12,0.05,1,2,540,31,920,2019,"Calendar Year (Jan - Dec), 2019"
2701,"SAVITRI RIVER JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,2019,17,35,4.1,7.1,6.5,8.2,49,54950,2,11,0.13,1.58,4,110,39,210,2019,"Calendar Year (Jan - Dec), 2019"
2199,"SAVITRI RIVER AT OVALE VILLAGE, OVALE, MAHAD, RAIGAD",MAHARASHTRA,2019,17,35,3.8,7,6.5,7.8,47,55780,1.8,13,0.16,0.7,6,1600,49,1600,2019,"Calendar Year (Jan - Dec), 2019"
2696,"PEHLAR DAM ON PEHLAR RIVERINLET OF WATER WORKS, PEHLAR, VASAI, THANE",MAHARASHTRA,2019,15,40,5.4,7.4,6.8,8.5,87,15710,3,64,0.2,22.1,2,170,33,110000,2019,"Calendar Year (Jan - Dec), 2019"
2689,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, KHALAPUR, RAIGAD",MAHARASHTRA,2019,26,29,3.9,7.2,6.5,7.8,64,1002,3,6.6,0.2,1.7,14,110,33,920,2019,"Calendar Year (Jan - Dec), 2019"
2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR. RAIGAD",MAHARASHTRA,2019,28,29,6.4,7.4,6.5,7.8,73,176,3,4,0.2,1.7,2,540,39,1600,2019,"Calendar Year (Jan - Dec), 2019"
2687,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD",MAHARASHTRA,2019,28,29,6.1,7.3,6.5,7.7,73,277,3,4,0.2,1.7,9,240,39,920,2019,"Calendar Year (Jan - Dec), 2019"
2686,"PATALGANGA RIVER AT VYAL PUMP HOUSE, VYAL, KHALAPUR, RAIGAD",MAHARASHTRA,2019,18,29,6.4,7.4,6.5,7.9,74,997,3,4,0.2,6.82,8,220,23,540,2019,"Calendar Year (Jan - Dec), 2019"
2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, KHARPADA, KHALAPUR, RAIGAD",MAHARASHTRA,2019,18,29,3.4,7.2,6.6,8.5,127,23800,3,11,0.4,2.7,17,34,47,280,2019,"Calendar Year (Jan - Dec), 2019"
1462,"PATALGANGA NEAR INTAKE OF MIDC W/W, TURADE, KHALAPUR, RAIGAD",MAHARASHTRA,2019,18,29,4.3,7.2,6.6,8.2,83,1010,3,5.8,0.2,1.8,9,350,34,1600,2019,"Calendar Year (Jan - Dec), 2019"
2708,"SURYA RIVER AT INTAKE OF VASAI VIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,2019,25,31,4.3,7.4,6.8,8.4,97,58300,3,11,,1.6,2,280,2,1600,2019,"Calendar Year (Jan - Dec), 2019"
1151,"PATALGANGA AT SHILPHATA, KHOPOLI, KHALAPUR, RAIGAD",MAHARASHTRA,2019,28,29,6.2,7.2,6.6,7.7,80,233,3,4,0.2,1.7,2,220,40,540,2019,"Calendar Year (Jan - Dec), 2019"
2676,"MUCHKUNDI RIVER AT WAKED NEAR M/S ASAHI INDIA GLASS LTD, WAKED, LANJA, RATNAGIRI",MAHARASHTRA,2019,22,30,4,7,6.5,8.1,64,55900,2,12,0.02,0.91,2,920,21,920,2019,"Calendar Year (Jan - Dec), 2019"
2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL, DHATAV, ROHA, RAIGAD",MAHARASHTRA,2019,25,36,4.7,7.6,6.8,8.8,67,590,3,5.4,0.1,8.7,2,350,39,1600,2019,"Calendar Year (Jan - Dec), 2019"
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,2019,20,28,3.5,7.4,6.5,8.1,85,66200,3,15,0.3,1.5,2,79,23,350,2019,"Calendar Year (Jan - Dec), 2019"
2198,"KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ), AREKHURD, ROHA, RAIGAD",MAHARASHTRA,2019,20,28,4.4,7.2,7,8,93,59500,3,9,0.3,2.8,6,540,33,1600,2019,"Calendar Year (Jan - Dec), 2019"
1152,"KUNDALIKA AT ROHA BRIDGE, ROHA CITY, RAIGAD",MAHARASHTRA,2019,25,28,6.4,7.6,6.9,9,65,137,3,4,0.1,0.8,2,350,26,1600,2019,"Calendar Year (Jan - Dec), 2019"
2670,"KAN RIVER NEAR SAKRI WATER WORKS, SAKRI, DHULE",MAHARASHTRA,2019,26,32,3.8,6.2,7.2,8,374,819,3,6.5,2.3,14.1,2,350,220,1800,2019,"Calendar Year (Jan - Dec), 2019"
1092,"KALU AT ATALE VILLAGE, KALYAN, THANE",MAHARASHTRA,2019,24,30,5,7.5,6.7,8,71,3572,3,7,0.1,1.3,2,540,23,1600,2019,"Calendar Year (Jan - Dec), 2019"
2654,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNE, SHAHAPUR, THANE",MAHARASHTRA,2019,15,38,6.8,7.6,6.6,8.5,66,385,3,4,0.1,1.5,2,220,27,920,2019,"Calendar Year (Jan - Dec), 2019"
2653,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNE, SHAHAPUR, THANE",MAHARASHTRA,2019,16,39,6,7.4,6.5,8.7,67,1970,3,4,0.1,3.3,11,220,23,430,2019,"Calendar Year (Jan - Dec), 2019"
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), BHIWANDI, THANE",MAHARASHTRA,2019,20,30,4.4,7.5,6.9,8.4,79,50920,3,10,0.1,3.23,2,210,24,1600,2019,"Calendar Year (Jan - Dec), 2019"
2651,"AMBA RIVER AT D/S OF WAKEN BRIDGEU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA, RAIGAD",MAHARASHTRA,2019,25,38,5,7.5,6.7,8.9,71,810,3,4.9,0.1,3.05,2,170,49,920,2019,"Calendar Year (Jan - Dec), 2019"
4609,"RIVER TONS AT M.PU.P BOUNDARY, BEFORE MIXING RIVER BELAN CHAKGHAT REWA",MADHYA PRADESH,2019,26.5,33,6.2,7.6,7.4,7.9,267,541,0.7,1.4,0.14,0.96,2,18,26,46,2019,"Calendar Year (Jan - Dec), 2019"
4612,SITARAM JAJU SAGAR DAM/POND WATER AT HARKHIYA KHAL NEEMUCH,MADHYA PRADESH,2019,22,38,6,7.5,7.3,7.9,198,593,1.8,2.4,0.14,1.99,2,32,48,210,2019,"Calendar Year (Jan - Dec), 2019"
4621,NANPUR FATA DAM ALIRAJPUR,MADHYA PRADESH,2019,21,28,6.2,7.2,7.8,8.7,300,521,0.5,1.4,0.69,1.03,2,2,33,49,2019,"Calendar Year (Jan - Dec), 2019"
4606,RIVER KEN NEAR ROAD BRIDGE AT PANNA CHHATARPUR,MADHYA PRADESH,2019,23,30,6.5,7.4,7.3,8.4,167,288,0.5,1.2,0.01,0.44,2,2,3,25,2019,"Calendar Year (Jan - Dec), 2019"
4624,KATNI RIVER D/S NEAR MOHANGHAT KATNI,MADHYA PRADESH,2019,24.5,27.6,5.4,6.7,7.1,8.3,310,682,1.5,2.3,0.13,1.52,2,18,34,94,2019,"Calendar Year (Jan - Dec), 2019"
4613,"HIRAN RIVER AFTER MIXING PARIYAT RIVER NEAR ROAD BRIDGE AT VILL GANIYARI, JABALPUR",MADHYA PRADESH,2019,18.2,22.1,6.2,7.8,7.4,8.3,170,3420,1.6,6,0.34,1.6,2,140,39,540,2019,"Calendar Year (Jan - Dec), 2019"
4611,RIVER GAMBHIR AT DAM SITE UJJAIN,MADHYA PRADESH,2019,22,34,6.5,7.7,7.3,7.8,258,520,1.8,2,0.61,0.9,2,6,47,63,2019,"Calendar Year (Jan - Dec), 2019"
4619,DEJLA DEWDA KHARGON,MADHYA PRADESH,2019,15,29,5.6,7.4,7.7,8.3,289,602,0.8,1.4,0.52,1.64,2,2,32,120,2019,"Calendar Year (Jan - Dec), 2019"
4620,"AJAB BOURALI DAM PETLAVAD, JHABUA",MADHYA PRADESH,2019,19,28,6.7,7.3,7.8,8.6,254,414,0.8,1.5,0.39,0.93,2,2,40,48,2019,"Calendar Year (Jan - Dec), 2019"
1442,"VAMANAPURAM, KERALA",KERALA,2019,27,35,3.1,7.4,6.2,7.8,75,223,0.4,6.3,0.01,0.3,100,940,400,2600,2019,"Calendar Year (Jan - Dec), 2019"
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,2019,24,32,4.5,8.2,6.9,7.6,66,42600,0.7,2.7,0.01,0.51,5,170,31,750,2019,"Calendar Year (Jan - Dec), 2019"
2306,R UPPALA AT UPPALA BR.,KERALA,2019,28,32,4.4,9.1,6.1,7.9,62,46500,0.1,3.3,0.01,0.66,32,490,110,1980,2019,"Calendar Year (Jan - Dec), 2019"
2292,R THIRUR AT THALAKKADATHUR BRIDGE,KERALA,2019,22,34,2.1,6.7,6,7.5,74,39650,0.8,3.2,0.24,1.9,8,48,17,63,2019,"Calendar Year (Jan - Dec), 2019"
2296,R THALLASSERY AT PATHIPPALAM,KERALA,2019,24,32,1.3,8,6.2,7.4,24,122,0.3,2.1,0.01,0.35,10,150,100,740,2019,"Calendar Year (Jan - Dec), 2019"
2305,R SHRIYA AT ANGADIMOGARU,KERALA,2019,28,31,7,9.7,6.1,7,39,66,0.1,2.8,0.01,0.32,19,80,85,540,2019,"Calendar Year (Jan - Dec), 2019"
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,2019,21,34,3.2,8.3,6.1,7.7,131,53500,0.3,2.4,0.01,0.23,10,150,100,500,2019,"Calendar Year (Jan - Dec), 2019"
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,2019,22,32,5,7.5,5.8,7.7,85,182,1,2.6,0.01,1.42,55,400,100,1000,2019,"Calendar Year (Jan - Dec), 2019"
2303,R PULLUR AT PULLUR BR.,KERALA,2019,28,30,4.9,9.1,5.2,8.2,37,78,1,3.8,0.01,0.57,26,380,140,1850,2019,"Calendar Year (Jan - Dec), 2019"
2300,R PERUVAMBA AT CHANDAPPURA,KERALA,2019,22,32,4.4,7.1,6.3,7.3,39,1100,0.2,2.6,0.05,0.5,20,210,150,760,2019,"Calendar Year (Jan - Dec), 2019"
3468,"PERIYAR AT KWA INTAKE ALUVA, ERNAKULAM",KERALA,2019,23,31,5.3,8.8,6.5,7.5,30,64,0.3,2.7,0.01,0.97,10,3500,14,5400,2019,"Calendar Year (Jan - Dec), 2019"
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,2019,26,31,5.3,7.2,6.7,7.7,49,9600,0.1,2.8,0.05,1.12,40,2700,110,7000,2019,"Calendar Year (Jan - Dec), 2019"
2335,R PERIYAR AT KALAMASSERY,KERALA,2019,25,31,0.9,7.4,6.3,7.3,41,135,0.3,2.4,0.01,0.52,350,4600,1700,16000,2019,"Calendar Year (Jan - Dec), 2019"
2334,RIVER PERIYAR AT PATHALAM,KERALA,2019,24,31,4.7,9.1,6.5,7.2,44,29000,0.2,2.9,0.01,2.62,400,4700,1400,26000,2019,"Calendar Year (Jan - Dec), 2019"
2333,RIVER PERIYAR AT MUPPATHADAM,KERALA,2019,24,33,4.5,7.9,6.8,7.7,35,92,0.1,1.6,0.01,0.59,240,3500,1100,5400,2019,"Calendar Year (Jan - Dec), 2019"
1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,2019,24,31,4.8,7.7,4.1,7.3,38,78,0.4,2.1,0.01,2.63,580,7000,1200,7900,2019,"Calendar Year (Jan - Dec), 2019"
18,PERIYAR AT KALADY,KERALA,2019,25,30,4,8.2,6.6,7.6,32,56,0.5,2.6,0.01,1.19,170,3800,460,7000,2019,"Calendar Year (Jan - Dec), 2019"
17,PERIYAR NEAR ALWAYEELOOR,KERALA,2019,27,32,4.4,9.6,6.6,7.7,90,33000,0.3,2.8,0.07,1.58,170,12000,400,43000,2019,"Calendar Year (Jan - Dec), 2019"
1156,"PAMBA AT CHENGANNUR, KERALA",KERALA,2019,27,30,5.3,8,6.1,6.8,43,72,0.3,1.5,0.14,0.59,170,630,380,840,2019,"Calendar Year (Jan - Dec), 2019"
10017,PAMBA D/S,KERALA,2019,25,30,5.2,7.3,6.1,7.9,59,115,0.8,3.9,0.27,2.25,520,32500,710,57000,2019,"Calendar Year (Jan - Dec), 2019"
10016,PAMBA U/S,KERALA,2019,24,29,6.1,8,6.4,8.1,46,90,0.2,1.7,0.22,1.14,210,42500,430,78000,2019,"Calendar Year (Jan - Dec), 2019"
1565,"PAMBA DOWN, KERALA",KERALA,2019,27,32,2.1,6.6,6.3,6.9,56,88,0.5,3.9,0.26,0.41,140,460,270,660,2019,"Calendar Year (Jan - Dec), 2019"
1341,"PAMBA AT THAKAZHY, KERALA",KERALA,2019,28,32,3.1,5.8,6.1,7,68,100,0.8,2.5,0.15,0.54,110,380,220,540,2019,"Calendar Year (Jan - Dec), 2019"
2288,R PALLICKAL AT NELLIMUKAL,KERALA,2019,18,24,6,7.1,6.5,7.2,120,132,1.2,2.2,0.52,0.76,100,280,260,480,2019,"Calendar Year (Jan - Dec), 2019"
2284,R NEYYAR AT ARUVIPURAM,KERALA,2019,28,34,4.1,7.1,6.1,7.6,92,147,0.4,6.5,0.01,0.3,100,480,200,920,2019,"Calendar Year (Jan - Dec), 2019"
1563,"AMARAVILA, KERALA",KERALA,2019,28,35,3.6,7,6,7.3,80,157,0.1,3.9,0.01,0.22,100,600,400,1500,2019,"Calendar Year (Jan - Dec), 2019"
2302,R NEELASWARAM AT NAMBIARKAL DAM,KERALA,2019,26,34,5.9,8.2,6.2,8.1,53,820,0.6,2.7,0.01,0.21,26,240,120,940,2019,"Calendar Year (Jan - Dec), 2019"
1570,"HOSDURG, KERALA",KERALA,2019,26,32,3,8.2,6.3,8.1,75,40000,0.4,2.9,0.03,0.6,32,390,230,1400,2019,"Calendar Year (Jan - Dec), 2019"
43,MUVATTAPUZHA AT VETTIKKATTUMUKKU,KERALA,2019,28,32,5.7,7.8,6.9,7.9,54,86,0.2,0.8,0.11,0.48,1100,2700,2200,4900,2019,"Calendar Year (Jan - Dec), 2019"
2304,R MOGRAL AT MOGRAL BR.,KERALA,2019,28,32,4.1,7.8,6.2,7.9,199,49800,0.5,2.1,0.01,0.21,31,430,150,1720,2019,"Calendar Year (Jan - Dec), 2019"
1339,"MEENACHIL AT KIDANGOOR, KERALA",KERALA,2019,27,31,6,7.7,6.8,7.9,44,103,0.2,0.9,0.06,0.8,310,2800,700,4900,2019,"Calendar Year (Jan - Dec), 2019"
