station code,Station name,Type of water body,srcYear,srcStateName,Minimum temperature of water,Maximum temperature of water,Minimum dissolved oxygen.,Maximum dissolved oxygen.,Minimum potential of Hydrogen(Ph) values.,Maximum potential of Hydrogen(Ph) values.,Minimum conductivity required for water quality,Maximum conductivity required for water quality,Minimum biochemical oxygen demand (BOD) required for water quality,Maximum biochemical oxygen demand (BOD) required for water quality,Minimum  of Nitrate N + Nitrite N required,Maximum  of Nitrate N + Nitrite N required,Minimum  of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Maximum   of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Minimum coliform required for different water bodies,Maximum coliform required for different water bodies,YearCode,Year
2499,"SAMARPURJHEEL,RAEBARELI",LAKE,2016,UTTARPRADESH,20,32,4.4,5.6,8.1,8.2,271,411,4.6,5.4,1,1.2,5600,6400,8100,8900,2016,"Calendar Year (Jan - Dec), 2016"
2500,"MAAHILPOND,URAITEHSIL,JALAUN",POND,2016,UTTARPRADESH,18,36.3,0,3,8.2,9.1,1448,3400,65,120,0,0,7000,9400,22000,35000,2016,"Calendar Year (Jan - Dec), 2016"
2501,"LAXMIPOND,JHANSI",POND,2016,UTTARPRADESH,20,34.2,0,2.2,6.9,7.9,852,1553,80,136,0,0,8400,9400,24000,35000,2016,"Calendar Year (Jan - Dec), 2016"
1362,NAINILAKEATNAINITAL(WATERINTAKEPOINT),LAKE,2016,UTTARAKHAND,9,18,7.2,7.8,7.4,7.9,420,510,1.2,1.8,0,0,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3437,BHEEMTALLAKE,LAKE,2016,UTTARAKHAND,10,17,7.2,7.6,7.2,7.8,180,240,1,1.6,0,0,,,,,2016,"Calendar Year (Jan - Dec), 2016"
1765,"RABINDRASAROVARNATIONALLAKE,CALCUTTA",LAKE,2016,WESTBENGAL,22,33,5.7,14.5,8.2,9.4,219,545,2.4,10,0.3,0.6,800,22000,1100,50000,2016,"Calendar Year (Jan - Dec), 2016"
2503,HATISHALAGHATONDUDHPUKURATTARAKESHWAR,LAKE,2016,WESTBENGAL,21,36,4.9,16.5,7.6,9.4,578,728,7.3,20.5,0.2,0.9,11000,220000,14000,280000,2016,"Calendar Year (Jan - Dec), 2016"
2504,MAINHGHATONDUDHPUKURATTARAKESHWAR,LAKE,2016,WESTBENGAL,21,36,6.1,17.6,7.8,9.3,580,742,6.2,24.7,0.1,1.8,17000,280000,27000,350000,2016,"Calendar Year (Jan - Dec), 2016"
2505,HUNUMANGHATONDUDHPUKURATTARAKESHWAR,LAKE,2016,WESTBENGAL,21,36,1.3,15.9,7.8,9.4,586,742,5.6,14.4,0.2,1.5,11000,170000,17000,220000,2016,"Calendar Year (Jan - Dec), 2016"
2519,KOCHBIHARLAKE(SAGARDIGHI),LAKE,2016,WESTBENGAL,21,36,6,8.9,7.1,9.6,45,85,1.4,4.4,0.1,0.3,800,13000,2600,28000,2016,"Calendar Year (Jan - Dec), 2016"
